ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
GOOGL,2018,Dec,,105.0780,136.8190,0.5648,0.1924,0.1669,0.2342,
GOOGL,2019,Dec,,114.9900,161.8570,0.5558,0.2115,0.1914,0.1830,
GOOGL,2020,Dec,,121.3750,182.5270,0.5358,0.2259,0.2347,0.1277,
GOOGL,2021,Dec,,124.2090,257.6370,0.5694,0.3055,0.2601,0.4115,
GOOGL,2022,Dec,,98.4500,282.8360,0.5538,0.2646,0.2122,0.0978,
GOOGL,2023,Dec,,96.0540,307.3940,0.5663,0.2742,0.2261,0.0868,
GOOGL,2024,Dec,,83.6570,350.0180,0.5820,0.3211,0.2079,0.1387,
GOOGL,2025,Dec,,77.7580,402.8360,0.5965,0.3203,0.1819,0.1509,
ISRG,2007,Dec,,0.1228,0.6008,0.6895,0.3441,0.3024,,
ISRG,2008,Dec,,0.4514,0.8749,0.7095,0.3553,0.1969,0.4562,
ISRG,2009,Dec,,0.5554,1.0522,0.7138,0.3587,0.3152,0.2026,
ISRG,2010,Dec,,0.9104,1.4130,0.7289,0.3929,0.3057,0.3429,
ISRG,2011,Dec,,1.0292,1.7573,0.7249,0.3954,0.3384,0.2437,
ISRG,2012,Dec,,1.3244,2.1788,0.7207,0.4030,0.3086,0.2399,
ISRG,2013,Dec,,1.4035,2.2651,0.7038,0.3764,0.3423,0.0396,
ISRG,2014,Dec,,1.2325,2.1317,0.6632,0.2556,0.2625,-0.0589,
ISRG,2015,Dec,,1.5598,2.3844,0.6618,0.3104,0.2898,0.1185,
ISRG,2016,Dec,,2.5546,2.7065,0.6984,0.3492,0.3654,0.1351,
ISRG,2017,Dec,,1.9606,3.1382,0.6992,0.3361,0.3037,0.1595,
ISRG,2018,Dec,,3.0631,3.7242,0.6992,0.3221,0.2637,0.1867,
ISRG,2019,Dec,,3.2217,4.4785,0.6945,0.3069,0.2618,0.2025,
ISRG,2020,Dec,,5.1114,4.3584,0.6565,0.2409,0.2623,-0.0268,
ISRG,2021,Dec,,4.2040,5.7101,0.6932,0.3189,0.3040,0.3101,
ISRG,2022,Dec,,4.1179,6.2222,0.6744,0.2535,0.1540,0.0897,
ISRG,2023,Dec,,5.2232,7.1241,0.6639,0.2480,0.1052,0.1449,
ISRG,2024,Dec,,4.0133,8.3521,0.6746,0.2812,0.1561,0.1724,
ISRG,2025,Dec,,5.9349,10.0647,0.6600,0.2927,0.2475,0.2051,
LULU,2009,Feb,,0.0568,0.3535,0.5066,0.1600,0.0167,,
LULU,2010,Jan,,0.1596,0.4529,0.4926,0.1911,0.2262,0.2812,
LULU,2011,Jan,,0.3163,0.7117,0.5549,0.2535,0.2103,0.5714,
LULU,2012,Jan,,0.4094,1.0008,0.5688,0.2867,0.0869,0.4063,
LULU,2013,Feb,,0.5902,1.3704,0.5567,0.2747,0.1364,0.3692,
LULU,2014,Feb,,0.6986,1.5912,0.5280,0.2460,0.1081,0.1611,
LULU,2015,Feb,,0.6645,1.7972,0.5087,0.2092,0.1083,0.1295,
LULU,2016,Jan,,0.5015,2.0605,0.4839,0.1791,0.0753,0.1465,
LULU,2017,Jan,,0.7348,2.3444,0.5117,0.1796,0.1005,0.1378,
LULU,2018,Jan,,0.9905,2.6492,0.5280,0.1721,0.1251,0.1300,
LULU,2019,Feb,,0.8813,3.2883,0.5523,0.2146,0.1572,0.2413,
LULU,2020,Feb,,1.0935,3.9793,0.5587,0.2234,0.0971,0.2101,
LULU,2021,Jan,,1.1505,4.4019,0.5598,0.1863,0.1304,0.1062,
LULU,2022,Jan,,1.2599,6.2566,0.5768,0.2131,0.1590,0.4214,
LULU,2023,Jan,,1.1549,8.1105,0.5539,0.1638,0.0404,0.2963,
LULU,2024,Jan,,2.2440,9.6193,0.5831,0.2217,0.1709,0.1860,
LULU,2025,Feb,,1.9843,10.5881,0.5922,0.2367,0.1496,0.1007,
LULU,2026,Feb,,1.8072,11.1026,0.5660,0.1991,0.0830,0.0486,
META,2010,Dec,,1.7850,1.9740,0.7503,0.5228,0.2052,,
META,2011,Dec,,3.9080,3.7110,0.7683,0.4732,0.2541,0.8799,
META,2012,Dec,,8.1260,5.0890,0.7320,0.1057,0.0741,0.3713,
META,2013,Dec,,11.4490,7.8720,0.7618,0.3562,0.3633,0.5469,
META,2014,Dec,,11.1990,12.4660,0.8273,0.4006,0.2909,0.5836,
META,2015,Dec,,18.4340,17.9280,0.8401,0.3472,0.3389,0.4382,
META,2016,Dec,,29.4490,27.6380,0.8629,0.4496,0.4203,0.5416,
META,2017,Dec,,41.7110,40.6530,0.8658,0.4970,0.4301,0.4709,
META,2018,Dec,,10.0190,55.8380,0.8325,0.4462,0.2751,0.3735,
META,2019,Dec,,19.0790,70.6970,0.8194,0.3393,0.3000,0.2661,
META,2020,Dec,,17.5760,85.9650,0.8058,0.3801,0.2749,0.2160,
META,2021,Dec,,47.9980,117.9290,0.8079,0.3965,0.3317,0.3718,
META,2022,Dec,,30.8150,116.6090,0.7835,0.2482,0.1633,-0.0112,
META,2023,Dec,,47.0180,134.9020,0.8076,0.3466,0.3250,0.1569,
META,2024,Dec,,48.9890,164.5010,0.8167,0.4218,0.3287,0.2194,
META,2025,Dec,,22.8480,200.9660,0.8200,0.4144,0.2294,0.2217,
MSFT,2008,Jun,,10.3390,60.4200,0.8080,0.3686,0.3050,,
MSFT,2009,Jun,,25.7010,58.4370,0.7920,0.3485,0.2724,-0.0328,
MSFT,2010,Jun,,30.8490,62.4840,0.8016,0.3857,0.3536,0.0693,
MSFT,2011,Jun,,40.8510,69.9430,0.7773,0.3883,0.3523,0.1194,
MSFT,2012,Jun,,51.0960,73.7230,0.7622,0.2952,0.3977,0.0540,
MSFT,2013,Jun,,61.4220,77.8490,0.7399,0.3438,0.3157,0.0560,
MSFT,2014,Jun,,65.0640,86.8330,0.6898,0.3197,0.3080,0.1154,
MSFT,2015,Jun,,66.2190,93.5800,0.6470,0.1941,0.2472,0.0777,
MSFT,2016,Jun,,72.4400,91.1540,0.5764,0.2214,0.2741,-0.0259,
MSFT,2017,Jun,,55.8590,96.5710,0.5767,0.2312,0.3249,0.0594,
MSFT,2018,Jun,,57.5280,110.3600,0.6525,0.3177,0.2922,0.1428,
MSFT,2019,Jun,,61.6190,125.8430,0.6590,0.3414,0.3040,0.1403,
MSFT,2020,Jun,,73.2000,143.0150,0.6778,0.3703,0.3163,0.1365,
MSFT,2021,Jun,,72.1880,168.0880,0.6893,0.4159,0.3339,0.1753,
MSFT,2022,Jun,,54.9760,198.2700,0.6840,0.4206,0.3286,0.1796,
MSFT,2023,Jun,,64.0250,211.9150,0.6892,0.4177,0.2807,0.0688,
MSFT,2024,Jun,,30.6060,245.1220,0.6976,0.4464,0.3022,0.1567,
MSFT,2025,Jun,,51.4140,281.7240,0.6882,0.4562,0.2542,0.1493,
NFLX,2007,Dec,,0.1774,1.2053,0.3478,0.0761,0.1934,,
NFLX,2008,Dec,,0.2973,1.3647,0.3330,0.0890,0.1760,0.1322,
NFLX,2009,Dec,,0.1202,1.6703,0.3538,0.1149,0.1671,0.2239,
NFLX,2010,Dec,,0.3504,2.1626,0.3724,0.1312,0.1122,0.2948,
NFLX,2011,Dec,,0.7978,3.2046,0.3634,0.1174,0.0836,0.4818,
NFLX,2012,Dec,,0.5481,3.6093,0.2725,0.0139,-0.0052,0.1263,
NFLX,2013,Dec,,0.7004,4.3746,0.2952,0.0522,0.0100,0.2120,
NFLX,2014,Dec,,0.7085,5.5047,0.3183,0.0731,-0.0097,0.2583,
NFLX,2015,Dec,,-0.0606,6.7795,0.3227,0.0451,-0.1240,0.2316,
NFLX,2016,Dec,,-1.6305,8.8307,0.3172,0.0430,-0.1791,0.3026,
NFLX,2017,Dec,,-6.2260,11.6927,0.3449,0.0717,-0.1676,0.3241,
NFLX,2018,Dec,,-11.0787,15.7943,0.3689,0.1016,-0.1807,0.3508,
NFLX,2019,Dec,,-15.7050,20.1564,0.3828,0.1292,-0.1558,0.2762,
NFLX,2020,Dec,,-13.6515,24.9961,0.3889,0.1834,0.0772,0.2401,
NFLX,2021,Dec,,-9.3651,29.6978,0.4164,0.2086,-0.0044,0.1881,
NFLX,2022,Dec,,-8.2946,31.6155,0.3937,0.1782,0.0512,0.0646,
NFLX,2023,Dec,,-7.4054,33.7233,0.4154,0.2062,0.2054,0.0667,
NFLX,2024,Dec,,-5.9991,39.0010,0.4606,0.2671,0.1775,0.1565,
NFLX,2025,Dec,,-5.4005,45.1830,0.4849,0.2949,0.2094,0.1585,
NOW,2010,Jun,,0.0294,0.0433,0.6263,-0.6508,-0.2104,,
NOW,2011,Jun,,0.0599,0.0926,0.6592,0.1140,0.3102,1.1381,
NOW,2012,Dec,,0.3147,0.2437,0.5732,-0.1542,0.0275,1.6307,
NOW,2013,Dec,,0.2198,0.4247,0.6344,-0.1561,0.0622,0.7424,
NOW,2014,Dec,,0.2250,0.6826,0.6355,-0.2224,0.1238,0.6074,
NOW,2015,Dec,,0.3267,1.0055,0.6724,-0.1655,0.2264,0.4731,
NOW,2016,Dec,,0.3916,1.3910,0.7130,-0.3040,0.0391,0.3834,
NOW,2017,Dec,,0.6059,1.9185,0.7471,-0.0529,0.2566,0.3792,
NOW,2018,Dec,,-0.0955,2.6088,0.7613,-0.0163,0.2249,0.3598,
NOW,2019,Dec,,0.0281,3.4604,0.7698,0.0122,0.2806,0.3264,
NOW,2020,Dec,,0.0366,4.5195,0.7816,0.0440,0.3025,0.3060,
NOW,2021,Dec,,0.1520,5.8960,0.7705,0.0436,0.3051,0.3046,
NOW,2022,Dec,,-0.0160,7.2450,0.7829,0.0490,0.2999,0.2288,
NOW,2023,Dec,,0.4090,8.9710,0.7859,0.0849,0.3014,0.2382,
NOW,2024,Dec,,0.8150,10.9840,0.7918,0.1242,0.3109,0.2244,
NOW,2025,Dec,,2.2350,13.2780,0.7753,0.1374,0.3446,0.2088,
NVDA,2008,Jan,,0.7270,4.0979,0.4562,0.2041,,,
NVDA,2009,Jan,,1.2554,3.4249,0.3429,-0.0206,,-0.1642,
NVDA,2010,Jan,,1.7282,3.3264,0.3538,-0.0297,0.1233,-0.0287,
NVDA,2011,Jan,,2.4906,3.5433,0.3977,0.0722,0.1631,0.0652,
NVDA,2012,Jan,,3.1296,3.9979,0.5144,0.1622,0.1927,0.1283,
NVDA,2013,Jan,,3.7279,4.2802,0.5202,0.1515,,0.0706,
NVDA,2014,Jan,,3.3154,4.1302,0.5491,0.1201,,-0.0350,
NVDA,2015,Jan,,3.2390,4.6815,0.5553,0.1621,,0.1335,
NVDA,2016,Jan,,3.6240,5.0100,0.5611,0.1491,,0.0702,
NVDA,2017,Jan,,4.8150,6.9100,0.5880,0.2799,,0.3792,
NVDA,2018,Jan,,5.1230,9.7140,0.5993,0.3305,,0.4058,
NVDA,2019,Jan,,5.4340,11.7160,0.6121,0.3247,,0.2061,
NVDA,2020,Jan,,8.9060,10.9180,0.6199,0.2607,,-0.0681,
NVDA,2021,Jan,,4.5980,16.6750,0.6234,0.2718,,0.5273,
NVDA,2022,Jan,,10.2620,26.9140,0.6493,0.3731,0.3021,0.6140,
NVDA,2023,Jan,,2.3430,26.9740,0.5693,0.1566,0.1412,0.0022,
NVDA,2024,Jan,,16.2750,60.9220,0.7272,0.5412,0.4435,1.2585,
NVDA,2025,Jan,,34.7470,130.4970,0.7499,0.6242,0.4663,1.1420,
NVDA,2026,Jan,,2.1370,215.9380,0.7107,0.6038,0.4477,0.6547,
PTON,2018,Jun,,0.1516,0.4350,0.4359,-0.1092,0.0499,,
PTON,2019,Jun,,0.1621,0.9150,0.4192,-0.2211,-0.2094,1.1034,
PTON,2020,Jun,,1.0355,1.8259,0.4582,-0.0443,0.1205,0.9955,
PTON,2021,Jun,,0.3050,4.0218,0.3610,-0.0467,-0.1195,1.2026,
PTON,2022,Jun,,0.3824,3.5821,0.1950,-0.7632,-0.6581,-0.1093,
PTON,2023,Jun,,-0.1816,2.8002,0.3298,-0.4275,-0.1678,-0.2183,
PTON,2024,Jun,,-0.8514,2.7005,0.4468,-0.1959,-0.0318,-0.0356,
PTON,2025,Jun,,-0.4995,2.4908,0.5092,-0.0145,0.1300,-0.0777,
ROKU,2015,Dec,,0.0000,0.3199,0.2807,-0.1174,-0.1176,,
ROKU,2016,Dec,,-0.0150,0.3986,0.3036,-0.1088,-0.1030,0.2463,
ROKU,2017,Dec,,0.1772,0.5128,0.3897,-0.0383,0.0547,0.2863,
ROKU,2018,Dec,,0.1977,0.7425,0.4473,-0.0179,-0.0059,0.4480,
ROKU,2019,Dec,,0.4159,1.1289,0.4387,-0.0576,-0.0562,0.5204,
ROKU,2020,Dec,,0.9981,1.7784,0.4545,-0.0114,0.0370,0.5753,
ROKU,2021,Dec,,2.0562,2.7646,0.5095,0.0850,0.0680,0.5545,
ROKU,2022,Dec,,1.8820,3.1265,0.4609,-0.1698,-0.0479,0.1309,
ROKU,2023,Dec,,2.0259,3.4846,0.4370,-0.2274,0.0497,0.1145,
ROKU,2024,Dec,,2.1602,4.1129,0.4390,-0.0530,0.0518,0.1803,
ROKU,2025,Dec,,2.3173,4.7373,0.4379,-0.0012,0.1010,0.1518,
SHOP,2022,Dec,,1.6490,5.6000,0.4918,-0.1468,-0.0332,,
SHOP,2023,Dec,,4.0920,7.0600,0.4979,-0.2008,0.1282,0.2607,
SHOP,2024,Dec,,4.5610,8.8800,0.5036,0.1211,0.1798,0.2578,
SHOP,2025,Dec,,5.7780,11.5560,0.4807,0.1270,0.1737,0.3014,
SNAP,2015,Dec,,0.6408,0.0587,-2.1083,-6.5072,-5.5542,,
SNAP,2016,Dec,,0.9874,0.4045,-0.1166,-1.2865,-1.6754,5.8950,
SNAP,2017,Dec,,2.0430,0.8249,0.1303,-4.2252,-0.9930,1.0395,
SNAP,2018,Dec,,1.2791,1.1804,0.3233,-1.0746,-0.6863,0.4309,
SNAP,2019,Dec,,1.2210,1.7155,0.4778,-0.6431,-0.1990,0.4533,
SNAP,2020,Dec,,0.8624,2.5066,0.5282,-0.3439,-0.0900,0.4611,
SNAP,2021,Dec,,1.4398,4.1170,0.5749,-0.1705,0.0542,0.6425,
SNAP,2022,Dec,,0.1966,4.6018,0.6055,-0.3032,0.0120,0.1178,
SNAP,2023,Dec,,-0.2053,4.6061,0.5410,-0.3036,0.0076,0.0009,
SNAP,2024,Dec,,-0.2676,5.3614,0.5385,-0.1468,0.0408,0.1640,
