ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
CRWD,2022,Jan,41.0309,1.2571,1.4516,0.7360,-0.0982,0.3187,0.6600,180.6400
CRWD,2023,Jan,24.6894,1.9644,2.2412,0.7317,-0.0848,0.3150,0.5440,105.9000
CRWD,2024,Jan,69.8013,2.7322,3.0556,0.7527,-0.0007,0.3239,0.3633,292.5000
CRWD,2025,Jan,99.2182,3.5793,3.9536,0.7492,-0.0305,0.2850,0.2939,398.0700
CRWD,2026,Jan,112.3662,4.4847,4.8120,0.7467,-0.0610,0.2723,0.2171,441.4050
DASH,2018,Dec,,0.2150,0.2910,0.2165,-0.7216,-0.5911,,
DASH,2019,Dec,,0.2570,0.8850,0.4090,-0.6960,-0.6158,2.0412,
DASH,2020,Dec,8.9062,3.9810,2.8860,0.5260,-0.1511,0.0506,2.2610,142.7500
DASH,2021,Dec,50.1565,2.5040,4.8880,0.5217,-0.0925,0.1152,0.6937,148.9000
DASH,2022,Dec,18.1324,1.9770,6.5830,0.4550,-0.1707,0.0290,0.3468,48.8200
DASH,2023,Dec,38.8586,2.6560,8.6350,0.4686,-0.0671,0.1795,0.3117,98.8900
DASH,2024,Dec,69.0377,4.0190,10.7220,0.4831,-0.0035,0.1891,0.2417,167.7500
DASH,2025,Dec,96.7167,1.6540,13.7170,0.5088,0.0527,0.1585,0.2793,226.4800
DDOG,2017,Dec,,0.0600,0.1008,0.7676,-0.0293,0.1139,,
DDOG,2018,Dec,,0.0536,0.1981,0.7651,-0.0557,0.0059,0.9658,
DDOG,2019,Dec,,0.5973,0.3628,0.7548,-0.0555,0.0301,0.8315,37.7800
DDOG,2020,Dec,29.5665,-0.3509,0.6035,0.7843,-0.0228,0.1718,0.6634,98.4400
DDOG,2021,Dec,55.0445,-0.4645,1.0288,0.7723,-0.0186,0.2689,0.7048,178.1100
DDOG,2022,Dec,23.1826,-0.3999,1.6751,0.7930,-0.0350,0.2287,0.6282,73.5000
DDOG,2023,Dec,39.3311,-0.4119,2.1284,0.8074,-0.0157,0.2971,0.2706,121.3800
DDOG,2024,Dec,48.0356,-0.3663,2.6843,0.8079,0.0202,0.3114,0.2612,142.8900
DDOG,2025,Dec,47.2306,-0.5821,3.4272,0.7996,-0.0129,0.2919,0.2768,135.9900
GOOGL,2013,Dec,,18.8980,55.5190,0.6039,0.2774,0.2036,,27.8159
GOOGL,2014,Dec,360.9401,59.3940,66.0010,0.6107,0.2499,0.1730,0.1888,26.3155
GOOGL,2015,Dec,534.7636,67.8460,74.9890,0.6244,0.2582,0.2148,0.1362,38.5816
GOOGL,2016,Dec,547.8152,82.3330,90.2720,0.6108,0.2627,0.2861,0.2038,39.2977
GOOGL,2017,Dec,731.8844,97.8450,110.8550,0.5888,0.2359,0.2157,0.2280,52.2382
GOOGL,2018,Dec,726.8282,105.0780,136.8190,0.5648,0.1924,0.1669,0.2342,51.8197
GOOGL,2019,Dec,921.9490,114.9900,161.8570,0.5558,0.2115,0.1914,0.1830,66.4205
GOOGL,2020,Dec,1183.4211,121.3750,182.5270,0.5358,0.2259,0.2347,0.1277,86.9137
GOOGL,2021,Dec,1918.1911,124.2090,257.6370,0.5694,0.3055,0.2601,0.4115,143.6646
GOOGL,2022,Dec,1133.6673,98.4500,282.8360,0.5538,0.2646,0.2122,0.0978,87.5068
GOOGL,2023,Dec,1740.5374,96.0540,307.3940,0.5663,0.2742,0.2261,0.0868,138.5449
GOOGL,2024,Dec,2311.5423,83.6570,350.0180,0.5820,0.3211,0.2079,0.1387,188.4289
GOOGL,2025,Dec,3783.5440,77.7580,402.8360,0.5965,0.3203,0.1819,0.1509,312.7798
ISRG,2007,Dec,12.2194,0.1228,0.6008,0.6895,0.3441,0.3024,,35.8889
ISRG,2008,Dec,4.9370,0.4514,0.8749,0.7095,0.3553,0.1969,0.4562,14.1100
ISRG,2009,Dec,11.6835,0.5554,1.0522,0.7138,0.3587,0.3152,0.2026,33.7144
ISRG,2010,Dec,10.0178,0.9104,1.4130,0.7289,0.3929,0.3057,0.3429,28.6389
ISRG,2011,Dec,18.2178,1.0292,1.7573,0.7249,0.3954,0.3384,0.2437,51.4456
ISRG,2012,Dec,19.6771,1.3244,2.1788,0.7207,0.4030,0.3086,0.2399,54.4856
ISRG,2013,Dec,14.6609,1.4035,2.2651,0.7038,0.3764,0.3423,0.0396,42.6756
ISRG,2014,Dec,19.3591,1.2325,2.1317,0.6632,0.2556,0.2625,-0.0589,58.7711
ISRG,2015,Dec,20.4156,1.5598,2.3844,0.6618,0.3104,0.2898,0.1185,60.6844
ISRG,2016,Dec,24.5975,2.5546,2.7065,0.6984,0.3492,0.3654,0.1351,70.4633
ISRG,2017,Dec,40.9822,1.9606,3.1382,0.6992,0.3361,0.3037,0.1595,121.6467
ISRG,2018,Dec,54.8309,3.0631,3.7242,0.6992,0.3221,0.2637,0.1867,159.6400
ISRG,2019,Dec,68.5640,3.2217,4.4785,0.6945,0.3069,0.2618,0.2025,197.0500
ISRG,2020,Dec,96.3053,5.1114,4.3584,0.6565,0.2409,0.2623,-0.0268,272.7000
ISRG,2021,Dec,128.5374,4.2040,5.7101,0.6932,0.3189,0.3040,0.3101,359.3000
ISRG,2022,Dec,92.9759,4.1179,6.2222,0.6744,0.2535,0.1540,0.0897,265.3500
ISRG,2023,Dec,118.8606,5.2232,7.1241,0.6639,0.2480,0.1052,0.1449,337.3600
ISRG,2024,Dec,186.1607,4.0133,8.3521,0.6746,0.2812,0.1561,0.1724,521.9600
ISRG,2025,Dec,201.1316,5.9349,10.0647,0.6600,0.2927,0.2475,0.2051,566.3600
LULU,2009,Feb,0.4672,0.0568,0.3535,0.5066,0.1600,0.0167,,3.4000
LULU,2010,Jan,1.9839,0.1596,0.4529,0.4926,0.1911,0.2262,0.2812,14.1200
LULU,2011,Jan,3.6750,0.3163,0.7117,0.5549,0.2535,0.2103,0.5714,34.3050
LULU,2012,Jan,7.1208,0.4094,1.0008,0.5688,0.2867,0.0869,0.4063,64.1200
LULU,2013,Feb,7.6276,0.5902,1.3704,0.5567,0.2747,0.1364,0.3692,67.8600
LULU,2014,Feb,5.2731,0.6986,1.5912,0.5280,0.2460,0.1081,0.1611,45.6900
LULU,2015,Feb,8.7524,0.6645,1.7972,0.5087,0.2092,0.1083,0.1295,66.2400
LULU,2016,Jan,7.9136,0.5015,2.0605,0.4839,0.1791,0.0753,0.1465,62.0700
LULU,2017,Jan,8.5044,0.7348,2.3444,0.5117,0.1796,0.1005,0.1378,66.8200
LULU,2018,Jan,9.9387,0.9905,2.6492,0.5280,0.1721,0.1251,0.1300,79.0800
LULU,2019,Feb,18.0137,0.8813,3.2883,0.5523,0.2146,0.1572,0.2413,146.1200
LULU,2020,Feb,29.7119,1.0935,3.9793,0.5587,0.2234,0.0971,0.2101,239.3900
LULU,2021,Jan,41.1391,1.1505,4.4019,0.5598,0.1863,0.1304,0.1062,328.6800
LULU,2022,Jan,38.7654,1.2599,6.2566,0.5768,0.2131,0.1590,0.4214,315.9100
LULU,2023,Jan,37.9388,1.1549,8.1105,0.5539,0.1638,0.0404,0.2963,310.8500
LULU,2024,Jan,57.7901,2.2440,9.6193,0.5831,0.2217,0.1709,0.1860,478.0300
LULU,2025,Feb,47.8489,1.9843,10.5881,0.5922,0.2367,0.1496,0.1007,414.2000
LULU,2026,Feb,19.2792,1.8072,11.1026,0.5660,0.1991,0.0830,0.0486,174.5000
META,2010,Dec,,1.7850,1.9740,0.7503,0.5228,0.2052,,
META,2011,Dec,,3.9080,3.7110,0.7683,0.4732,0.2541,0.8799,
META,2012,Dec,53.3997,8.1260,5.0890,0.7320,0.1057,0.0741,0.3713,26.4127
META,2013,Dec,132.2530,11.4490,7.8720,0.7618,0.3562,0.3633,0.5469,54.2245
META,2014,Dec,203.9443,11.1990,12.4660,0.8273,0.4006,0.2909,0.5836,77.4125
META,2015,Dec,293.3620,18.4340,17.9280,0.8401,0.3472,0.3389,0.4382,103.8451
META,2016,Dec,329.3882,29.4490,27.6380,0.8629,0.4496,0.4203,0.5416,114.1542
META,2017,Dec,511.9105,41.7110,40.6530,0.8658,0.4970,0.4301,0.4709,175.0860
META,2018,Dec,378.8501,10.0190,55.8380,0.8325,0.4462,0.2751,0.3735,130.0693
META,2019,Dec,585.7835,19.0790,70.6970,0.8194,0.3393,0.3000,0.2661,203.6518
META,2020,Dec,778.7792,17.5760,85.9650,0.8058,0.3801,0.2749,0.2160,271.0331
META,2021,Dec,946.8253,47.9980,117.9290,0.8079,0.3965,0.3317,0.3718,333.7311
META,2022,Dec,323.3536,30.8150,116.6090,0.7835,0.2482,0.1633,-0.0112,119.4030
META,2023,Dec,911.0930,47.0180,134.9020,0.8076,0.3466,0.3250,0.1569,351.2039
META,2024,Dec,1483.6824,48.9890,164.5010,0.8167,0.4218,0.3287,0.2194,583.1702
META,2025,Dec,1664.0870,22.8480,200.9660,0.8200,0.4144,0.2294,0.2217,659.5253
MSFT,2008,Jun,256.6133,10.3390,60.4200,0.8080,0.3686,0.3050,,19.7856
MSFT,2009,Jun,211.0567,25.7010,58.4370,0.7920,0.3485,0.2724,-0.0328,17.5091
MSFT,2010,Jun,199.1186,30.8490,62.4840,0.8016,0.3857,0.3536,0.0693,17.2776
MSFT,2011,Jun,217.8349,40.8510,69.9430,0.7773,0.3883,0.3523,0.1194,19.9944
MSFT,2012,Jun,256.4481,51.0960,73.7230,0.7622,0.2952,0.3977,0.0540,24.1655
MSFT,2013,Jun,287.7167,61.4220,77.8490,0.7399,0.3438,0.3157,0.0560,28.1174
MSFT,2014,Jun,343.6017,65.0640,86.8330,0.6898,0.3197,0.3080,0.1154,34.9476
MSFT,2015,Jun,353.1109,66.2190,93.5800,0.6470,0.1941,0.2472,0.0777,37.9787
MSFT,2016,Jun,398.7430,72.4400,91.1540,0.5764,0.2214,0.2741,-0.0259,45.2408
MSFT,2017,Jun,530.9157,55.8590,96.5710,0.5767,0.2312,0.3249,0.0594,62.4674
MSFT,2018,Jun,756.1629,57.5280,110.3600,0.6525,0.3177,0.2922,0.1428,91.1094
MSFT,2019,Jun,1022.8395,61.6190,125.8430,0.6590,0.3414,0.3040,0.1403,125.7803
MSFT,2020,Jun,1540.0930,73.2000,143.0150,0.6778,0.3703,0.3163,0.1365,193.4350
MSFT,2021,Jun,2035.7840,72.1880,168.0880,0.6893,0.4159,0.3339,0.1753,259.9818
MSFT,2022,Jun,1915.4103,54.9760,198.2700,0.6840,0.4206,0.3286,0.1796,248.4915
MSFT,2023,Jun,2530.1318,64.0250,211.9150,0.6892,0.4177,0.2807,0.0688,332.6686
MSFT,2024,Jun,3322.1966,30.6060,245.1220,0.6976,0.4464,0.3022,0.1567,440.0345
MSFT,2025,Jun,3697.3313,51.4140,281.7240,0.6882,0.4562,0.2542,0.1493,493.4684
NFLX,2007,Dec,1.7856,0.1774,1.2053,0.3478,0.0761,0.1934,,0.3803
NFLX,2008,Dec,1.8221,0.2973,1.3647,0.3330,0.0890,0.1760,0.1322,0.4270
NFLX,2009,Dec,2.9491,0.1202,1.6703,0.3538,0.1149,0.1671,0.2239,0.7870
NFLX,2010,Dec,9.2929,0.3504,2.1626,0.3724,0.1312,0.1122,0.2948,2.5100
NFLX,2011,Dec,3.8400,0.7978,3.2046,0.3634,0.1174,0.0836,0.4818,0.9899
NFLX,2012,Dec,5.1844,0.5481,3.6093,0.2725,0.0139,-0.0052,0.1263,1.3227
NFLX,2013,Dec,22.0192,0.7004,4.3746,0.2952,0.0522,0.0100,0.2120,5.2596
NFLX,2014,Dec,20.6668,0.7085,5.5047,0.3183,0.0731,-0.0097,0.2583,4.8801
NFLX,2015,Dec,48.9639,-0.0606,6.7795,0.3227,0.0451,-0.1240,0.2316,11.4380
NFLX,2016,Dec,53.2850,-1.6305,8.8307,0.3172,0.0430,-0.1791,0.3026,12.3800
NFLX,2017,Dec,83.3007,-6.2260,11.6927,0.3449,0.0717,-0.1676,0.3241,19.1960
NFLX,2018,Dec,116.8600,-11.0787,15.7943,0.3689,0.1016,-0.1807,0.3508,26.7660
NFLX,2019,Dec,141.9847,-15.7050,20.1564,0.3828,0.1292,-0.1558,0.2762,32.3570
NFLX,2020,Dec,239.4868,-13.6515,24.9961,0.3889,0.1834,0.0772,0.2401,54.0730
NFLX,2021,Dec,267.4611,-9.3651,29.6978,0.4164,0.2086,-0.0044,0.1881,60.2440
NFLX,2022,Dec,131.3239,-8.2946,31.6155,0.3937,0.1782,0.0512,0.0646,29.4880
NFLX,2023,Dec,210.7020,-7.4054,33.7233,0.4154,0.2062,0.2054,0.0667,48.6880
NFLX,2024,Dec,381.2685,-5.9991,39.0010,0.4606,0.2671,0.1775,0.1565,89.1320
NFLX,2025,Dec,395.8699,-5.4005,45.1830,0.4849,0.2949,0.2094,0.1585,93.7600
NOW,2010,Jun,,0.0294,0.0433,0.6263,-0.6508,-0.2104,,
NOW,2011,Jun,,0.0599,0.0926,0.6592,0.1140,0.3102,1.1381,
NOW,2012,Dec,3.9610,0.3147,0.2437,0.5732,-0.1542,0.0275,1.6307,6.0060
NOW,2013,Dec,7.9030,0.2198,0.4247,0.6344,-0.1561,0.0622,0.7424,11.2020
NOW,2014,Dec,10.2114,0.2250,0.6826,0.6355,-0.2224,0.1238,0.6074,13.5700
